year,proj_scenario,sex,age,VALUE
2018,M3,B,4,396.5
2018,M3,B,5,400.5
2018,M3,B,6,403
2018,M3,B,7,403.2
2018,M3,B,8,411
2018,M3,B,9,413.1
2018,M3,B,10,413
2018,M3,B,11,403.1
2018,M3,B,12,393.3
2018,M3,B,13,388.6
2018,M3,B,14,392.8
2018,M3,B,15,392.1
2018,M3,B,16,399.3
2018,M3,B,17,412.1
2018,M3,B,18,440.1
2018,M3,B,19,463.4
2018,M3,B,20,472.2
2018,M3,B,21,475.8
2018,M3,B,22,489.3
2018,M3,B,23,499.7
2018,M3,B,24,500.5
2018,M3,B,25,505.6
2018,M3,B,26,512.5
2018,M3,B,27,520.7
2018,M3,B,28,524
2018,M3,B,29,510.6
2018,M3,B,30,501.3
2018,M3,B,31,504.9
2018,M3,B,32,514.8
2018,M3,B,33,515.3
2018,M3,B,34,514.3
2018,M3,B,35,511.3
2018,M3,B,36,508.2
2018,M3,B,37,506.4
2018,M3,B,38,500.3
2018,M3,B,39,488.2
2018,M3,B,40,479.7
2018,M3,B,41,478.2
2018,M3,B,42,477.5
2018,M3,B,43,476.4
2018,M3,B,44,467.1
2018,M3,B,45,466.5
2018,M3,B,46,473.6
2018,M3,B,47,490.8
2018,M3,B,48,490.3
2018,M3,B,49,484.4
2018,M3,B,50,480.7
2018,M3,B,51,485.3
2018,M3,B,52,510.8
2018,M3,B,53,543.1
2018,M3,B,54,558.3
2018,M3,B,55,561
2018,M3,B,56,547.5
2018,M3,B,57,549.6
2018,M3,B,58,540.7
2018,M3,B,59,527.4
2018,M3,B,60,519.8
2018,M3,B,61,505.9
2018,M3,B,62,489.9
2018,M3,B,63,480.7
2018,M3,B,64,459.9
2018,M3,B,65,436.9
2018,M3,B,66,417.7
2018,M3,B,67,405.7
2018,M3,B,68,393.3
2018,M3,B,69,382.1
2018,M3,B,70,377.3
2018,M3,B,71,370.8
2018,M3,B,72,314
2018,M3,B,73,287.8
2018,M3,B,74,275.3
2018,M3,B,75,259.5
2018,M3,B,76,236.7
2018,M3,B,77,221
2018,M3,B,78,202.7
2018,M3,B,79,190.1
2018,M3,B,80,176.7
2018,M3,B,81,162.5
2018,M3,B,82,154.5
2018,M3,B,83,141.9
2018,M3,B,84,130.3
2018,M3,B,85,122.8
2018,M3,B,86,112.8
2018,M3,B,87,102.5
