REF_DATE,Projection_scenario,all,birth,reference_to_birth
2063,FA,45788100,362100,126.45153272576637
2064,LG,44018100,357100,123.2654718566228
2064,M1,53611900,511800,104.75166080500195
2064,M2,53622000,512100,104.71001757469244
2064,M3,53611300,512100,104.68912321812147
2064,M4,53621700,512100,104.709431751611
2064,M5,53534500,508800,105.21717767295597
2064,HG,66582700,747200,89.10960920770879
2064,SA,64190400,735000,87.33387755102041
2064,FA,45897700,362400,126.6492825607064
2065,LG,44102700,357300,123.43324937027708
2065,M1,53997000,515299.99999999994,104.78750242577141
2065,M2,54007500,515600,104.74689681923972
2065,M3,53996500,515600,104.7255624515128
2065,M4,54007200,515600,104.74631497284717
2065,M5,53915300,512200.00000000006,105.26220226474032
2065,HG,67456600,757100,89.09866596222427
2065,SA,65007800,744500,87.31739422431161
2065,FA,46008400,362800,126.81477398015436
2066,LG,44187500,357800,123.49776411403019
2066,M1,54386700,518900,104.81152437849296
2066,M2,54397700,519299.99999999994,104.7519738108993
2066,M3,54386300,519299.99999999994,104.73002118236089
2066,M4,54397300,519200.00000000006,104.77137904468412
2066,M5,54300600,515700.00000000006,105.29493891797556
2066,HG,68346200,767300,89.07363482340675
2066,SA,65839000,754200,87.29647308406258
2066,FA,46120100,363400,126.9127682993946
2067,LG,44272100,358300,123.56154060842869
2067,M1,54780600,522700.00000000006,104.80313755500286
2067,M2,54792200,523000,104.76520076481836
2067,M3,54780300,523100,104.72242401070541
2067,M4,54791700,523000,104.76424474187381
2067,M5,54690000,519299.99999999994,105.314846909301
2067,HG,69251100,777600,89.05748456790124
2067,SA,66683700,764000,87.28232984293194
2067,FA,46232200,364100,126.9766547651744
2068,LG,44356300,359000,123.55515320334261
2068,M1,55178300,526600,104.78218761868591
2068,M2,55190400,526900,104.74549250332132
2068,M3,55178100,527000,104.7022770398482
2068,M4,55189900,526900,104.74454355665212
2068,M5,55083000,523100,105.30108965780921
2068,HG,70171100,788200,89.02702359807155
2068,SA,67541600,774100,87.25177625629763
2068,FA,46344300,364900,127.00548095368595
