year,sex,age,province,n,total_n,prop
2000,FALSE,58,BC,19428,4035980,0.004813700761648968
2000,FALSE,59,BC,19153,4035980,0.004745563654923959
2000,FALSE,60,BC,17664,4035980,0.004376632193420185
2000,FALSE,61,BC,16969,4035980,0.0042044311418788
2000,FALSE,62,BC,16742,4035980,0.004148187057418521
2000,FALSE,63,BC,16202,4035980,0.004014390556940322
2000,FALSE,64,BC,16055,4035980,0.00397796817625459
2000,FALSE,65,BC,15593,4035980,0.0038634978369565757
2000,FALSE,66,BC,14892,4035980,0.003689810157632099
2000,FALSE,67,BC,15408,4035980,0.0038176601469779334
2000,FALSE,68,BC,14940,4035980,0.003701703179896828
2000,FALSE,69,BC,15313,4035980,0.003794121873745658
2000,FALSE,70,BC,14976,4035980,0.003710622946595375
2000,FALSE,71,BC,14523,4035980,0.003598382548971997
2000,FALSE,72,BC,14041,4035980,0.0034789567837303454
2000,FALSE,73,BC,13861,4035980,0.003434357950237613
2000,FALSE,74,BC,13618,4035980,0.0033741495250224234
2000,FALSE,75,BC,13424,4035980,0.0033260818933691445
2000,FALSE,76,BC,13356,4035980,0.003309233445160779
2000,FALSE,77,BC,12606,4035980,0.003123404972274392
2000,FALSE,78,BC,12565,4035980,0.003113246349089936
2000,FALSE,79,BC,12000,4035980,0.002973255566182191
2000,FALSE,80,BC,11129,4035980,0.0027574467663368006
2000,FALSE,81,BC,9135,4035980,0.0022633907997561932
2000,FALSE,82,BC,8186,4035980,0.002028255838730618
2000,FALSE,83,BC,7767,4035980,0.0019244396652114233
2000,FALSE,84,BC,7200,4035980,0.0017839533397093147
2000,FALSE,85,BC,7123,4035980,0.0017648749498263123
2000,FALSE,86,BC,6095,4035980,0.0015101660563233714
2000,FALSE,87,BC,5177,4035980,0.0012827120055104336
2000,FALSE,88,BC,4281,4035980,0.0010607089232354968
2000,FALSE,89,BC,3842,4035980,9.519373237726649e-4
2000,FALSE,90,BC,2639,4035980,6.538684532629002e-4
2000,FALSE,91,BC,2079,4035980,5.151165268410646e-4
2000,FALSE,92,BC,1620,4035980,4.013895014345958e-4
2000,FALSE,93,BC,1227,4035980,3.0401538164212907e-4
2000,FALSE,94,BC,910,4035980,2.2547188043548283e-4
2000,FALSE,95,BC,656,4035980,1.6253797095129311e-4
2000,FALSE,96,BC,491,4035980,1.2165570691628799e-4
2000,FALSE,97,BC,322,4035980,7.978235769255547e-5
2000,FALSE,98,BC,225,4035980,5.5748541865916085e-5
2000,FALSE,99,BC,390,4035980,9.663080590092121e-5
2001,TRUE,0,CA,168620,31020902,0.005435689781038604
2001,TRUE,1,CA,176562,31020902,0.005691710705252865
2001,TRUE,2,CA,178794,31020902,0.0057636621913830875
2001,TRUE,3,CA,182995,31020902,0.005899087009139837
2001,TRUE,4,CA,191060,31020902,0.006159073001810199
2001,TRUE,5,CA,199299,31020902,0.006424668115711142
2001,TRUE,6,CA,204217,31020902,0.006583206381297359
2001,TRUE,7,CA,205679,31020902,0.006630335894165811
2001,TRUE,8,CA,209353,31020902,0.006748772166586259
2001,TRUE,9,CA,213881,31020902,0.006894738263897033
2001,TRUE,10,CA,218133,31020902,0.007031807134428264
2001,TRUE,11,CA,218870,31020902,0.007055565308835958
2001,TRUE,12,CA,211892,31020902,0.006830620205692278
2001,TRUE,13,CA,206823,31020902,0.006667214254440441
2001,TRUE,14,CA,209532,31020902,0.006754542469461397
2001,TRUE,15,CA,215523,31020902,0.006947670315969536
2001,TRUE,16,CA,218349,31020902,0.0070387701814731245
2001,TRUE,17,CA,218210,31020902,0.007034289331754441
2001,TRUE,18,CA,217684,31020902,0.00701733302274705
2001,TRUE,19,CA,218515,31020902,0.007044121412072415
2001,TRUE,20,CA,220690,31020902,0.007114235427454689
2001,TRUE,21,CA,219830,31020902,0.007086512184590893
2001,TRUE,22,CA,214976,31020902,0.006930037044055005
2001,TRUE,23,CA,211433,31020902,0.00681582373072195
2001,TRUE,24,CA,212041,31020902,0.006835423418700075
2001,TRUE,25,CA,211780,31020902,0.006827009736854202
2001,TRUE,26,CA,211413,31020902,0.006815179004143722
2001,TRUE,27,CA,205903,31020902,0.006637556831841963
2001,TRUE,28,CA,209118,31020902,0.006741196629292082
2001,TRUE,29,CA,214466,31020902,0.006913596516310196
2001,TRUE,30,CA,224588,31020902,0.007239892637551287
2001,TRUE,31,CA,226521,31020902,0.007302205461337004
2001,TRUE,32,CA,224553,31020902,0.007238764366039389
2001,TRUE,33,CA,224951,31020902,0.007251594424946122
2001,TRUE,34,CA,230029,31020902,0.007415290503158161
2001,TRUE,35,CA,244462,31020902,0.007880557438336254
2001,TRUE,36,CA,263241,31020902,0.00848592345896325
2001,TRUE,37,CA,273273,31020902,0.008809318310602316
2001,TRUE,38,CA,277219,31020902,0.008936522864486662
2001,TRUE,39,CA,272760,31020902,0.008792781073870772
2001,TRUE,40,CA,274870,31020902,0.008860799727873805
2001,TRUE,41,CA,271390,31020902,0.008748617303262169
2001,TRUE,42,CA,264425,31020902,0.008524091272394336
2001,TRUE,43,CA,262639,31020902,0.008466517188958593
2001,TRUE,44,CA,256552,31020902,0.00827029465487496
2001,TRUE,45,CA,248655,31020902,0.008015724365461713
2001,TRUE,46,CA,246850,31020902,0.007957537791776654
2001,TRUE,47,CA,237669,31020902,0.007661576056041182
2001,TRUE,48,CA,227774,31020902,0.007342597581462976
2001,TRUE,49,CA,220643,31020902,0.007112720319995853
2001,TRUE,50,CA,216811,31020902,0.006989190707607406
2001,TRUE,51,CA,212191,31020902,0.006840258868036784
2001,TRUE,52,CA,208274,31020902,0.006713989167690868
2001,TRUE,53,CA,208728,31020902,0.00672862446101664
2001,TRUE,54,CA,207759,31020902,0.006697387458301503
