REF_DATE,Projection_scenario,VALUE,prop_male,relative_change
2047,M5,468500,0.5121010923109873,1.209032258064516
2048,M5,470500,0.5121535181236674,1.2141935483870967
2049,M5,472500,0.5121019108280255,1.2193548387096773
2050,M5,474500,0.5122621564482029,1.2245161290322581
2051,M5,476500,0.5122105263157894,1.2296774193548388
2052,M5,478600,0.5122615803814714,1.2350967741935484
2053,M5,480800,0.512205299394951,1.2407741935483871
2054,M5,483100,0.5121495327102804,1.246709677419355
2055,M5,485500,0.5121951219512195,1.2529032258064516
2056,M5,487900,0.5122402797778235,1.2590967741935484
2057,M5,490400,0.5120753172329103,1.265548387096774
2058,M5,493100,0.5120114006514658,1.272516129032258
2059,M5,495800,0.5121506682867558,1.2794838709677419
2060,M5,498700,0.5120821586790173,1.286967741935484
2061,M5,501600,0.512214657589107,1.2944516129032257
2062,M5,504700,0.5121417197452229,1.3024516129032258
2063,M5,507900,0.5121661721068249,1.3107096774193547
2064,M5,511300,0.512185534591195,1.319483870967742
2065,M5,514799.99999999994,0.5121046466224131,1.328516129032258
2066,M5,518400,0.5121194492922242,1.3378064516129031
2067,M5,522200.00000000006,0.5122279992297324,1.3476129032258066
2020,SA,412300,0.5121287128712871,1
2021,SA,419400,0.5121359223300971,1.0172204705311667
2022,SA,425900,0.5121660305343512,1.0329856900315304
2023,SA,432100,0.5119774542038515,1.048023284016493
2024,SA,437900,0.512037037037037,1.0620907106475868
2025,SA,443600,0.5121059844677934,1.0759155954402135
2026,SA,449100,0.5119477006311992,1.089255396555906
2027,SA,454700,0.5120213713268033,1.1028377395100655
2028,SA,460300,0.5122058500109963,1.116420082464225
2029,SA,466000,0.5121633362293658,1.1302449672568518
2030,SA,472000,0.512012012012012,1.14479747756488
2031,SA,478200,0.512179622961237,1.1598350715498424
2032,SA,484700,0.512123745819398,1.1756002910502061
2033,SA,491700,0.5121649484536083,1.1925782197429056
2034,SA,499200,0.5119918699186992,1.2107688576279407
2035,SA,507100,0.5121121121121122,1.2299296628668446
2036,SA,515400,0.512022073314939,1.2500606354596169
2037,SA,524100,0.5120201628538193,1.2711617754062576
2038,SA,533000,0.5122044241037377,1.2927479990298327
2039,SA,542200,0.5119985001874766,1.3150618481688092
2040,SA,551400,0.512073732718894,1.3373756973077855
2041,SA,560600,0.5120536523472902,1.359689546446762
2042,SA,569900,0.5121212121212121,1.3822459374242058
2043,SA,576100,0.5120112221637735,1.397283531409168
2044,SA,582300,0.5120555073720728,1.4123211253941306
2045,SA,588400,0.5120988501801955,1.4271161775406258
2046,SA,594800,0.512141280353201,1.4426388552025224
2047,SA,601300,0.5120967741935484,1.4584040747028864
2048,SA,608100,0.5121302758391493,1.4748969197186514
2049,SA,615100,0.5121590535655602,1.4918748484113509
2050,SA,622500,0.5121000487250285,1.509822944457919
2051,SA,630100,0.5121990369181381,1.5282561241814212
2052,SA,638100,0.5121293800539083,1.547659471258792
2053,SA,646200,0.5121340222326601,1.56730536017463
2054,SA,654500,0.5120593692022264,1.5874363327674024
2055,SA,663000,0.5121355518241489,1.608052389037109
2056,SA,671500,0.5122061482820977,1.6286684453068154
2057,SA,680200,0.5120499851234751,1.6497695852534562
2058,SA,688900,0.5121163166397416,1.670870725200097
2059,SA,697700,0.5121809744779582,1.692214406985205
2060,SA,706600,0.5120973514674302,1.71380063060878
2061,SA,715700,0.5121571953633023,1.7358719379092893
2062,SA,724800,0.5120725750174459,1.7579432452097987
2063,SA,734100,0.5121278941565601,1.7804996361872423
2064,SA,743600,0.5121088435374149,1.8035411108416202
2065,SA,753300,0.5121558092679651,1.8270676691729324
2066,SA,763100,0.5120657650490585,1.8508367693427117
2067,SA,773200,0.51217277486911,1.8753334950278924
